shipment_id,vehicle_id,vehicle_type,capacity_kg,product_name,product_type,product_min_temp,product_max_temp,batch_quantity,expiry_date,departure_date,origin,destination,journey_duration_min,shipment_status,overall_compliance,temperature_status,sensor_reliability,custody_evidence_quality,route_reliability,total_readings,missing_readings,offline_readings,avg_temperature_c,obs_min_temp,obs_max_temp,stddev_temperature_c,avg_battery_level,avg_signal_strength,total_events,traffic_delay_events,route_deviation_events,total_delay_minutes,total_handovers,signed_handovers,missing_signatures,signature_rate_pct
SHP0019,V031,Refrigerated Van,750.0,Yogurt,Chilled,2.0,8.0,201,2026-08-29,2026-08-01,Madurai,Coimbatore,351.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,71,0,0,5.282,3.94,11.64,1.436,82.74,83.56,6,0,0,0,3,3,0,100.0
SHP0020,V011,Refrigerated Van,750.0,Fresh Paneer,Chilled,2.0,8.0,163,2026-08-23,2026-08-06,Salem,Madurai,148.0,Completed,Compliant,Compliant,Valid,Complete,Normal,30,0,0,5.012,4.26,6.05,0.447,86.04,86.6,8,0,0,0,3,3,0,100.0
SHP0021,V097,Refrigerated Truck,2000.0,Fresh Cream,Chilled,2.0,8.0,25,2026-08-20,2026-08-01,Pune,Bangalore,94.0,Completed,Compliant,Compliant,Valid,Complete,Normal,19,0,0,5.063,4.37,5.72,0.378,86.63,84.95,5,0,0,0,4,4,0,100.0
SHP0022,V002,Refrigerated Truck,2000.0,Frozen Peas,Frozen,-25.0,-18.0,143,2026-08-27,2026-08-03,Chennai,Kochi,90.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,19,0,0,-19.988,-21.51,-15.6,1.885,88.26,87.84,6,0,0,0,2,2,0,100.0
SHP0023,V037,Refrigerated Truck,2500.0,Cheese,Chilled,2.0,8.0,143,2026-08-26,2026-08-04,Salem,Mumbai,316.0,Completed,Compliant,Compliant,Valid,Complete,Normal,64,0,0,5.041,4.39,5.98,0.376,85.59,83.66,8,0,0,0,2,2,0,100.0
SHP0024,V092,Refrigerated Van,500.0,Cheese,Chilled,2.0,8.0,249,2026-08-29,2026-08-04,Salem,Bangalore,335.0,Completed,Compliant,Compliant,Valid,Complete,Normal,68,0,0,5.118,4.12,6.01,0.384,85.75,82.97,6,0,0,0,4,4,0,100.0
SHP0025,V010,Refrigerated Truck,2500.0,Frozen Peas,Frozen,-25.0,-18.0,170,2026-08-11,2026-08-06,Bengaluru,Coimbatore,218.0,Completed,Review,Warning,Review,Complete,Normal,44,0,0,-20.602,-21.97,-3.3,2.697,84.58,84.14,5,0,0,0,4,4,0,100.0
SHP0026,V026,Refrigerated Truck,2500.0,Yogurt,Chilled,2.0,8.0,176,2026-08-25,2026-08-07,Bangalore,Mumbai,139.0,Completed,Compliant,Compliant,Valid,Complete,Normal,28,1,4,5.023,4.18,5.72,0.377,82.74,75.07,6,0,0,0,3,3,0,100.0
SHP0027,V019,Refrigerated Truck,1500.0,Cheese,Chilled,2.0,8.0,291,2026-08-15,2026-08-05,Mumbai,Madurai,93.0,Completed,Review,Compliant,Review,Complete,Normal,19,1,0,5.205,4.72,5.86,0.393,86.1,86.11,7,0,0,0,3,3,0,100.0
SHP0028,V007,Refrigerated Van,750.0,Fresh Cream,Chilled,2.0,8.0,189,2026-08-15,2026-08-06,Kochi,Salem,182.0,Completed,Compliant,Compliant,Valid,Complete,Normal,37,0,0,5.026,3.86,5.67,0.403,86.48,81.68,6,0,0,0,2,2,0,100.0
SHP0029,V032,Refrigerated Van,1200.0,Fresh Paneer,Chilled,2.0,8.0,176,2026-08-12,2026-08-01,Chennai,Hyderabad,282.0,Completed,Compliant,Compliant,Valid,Complete,Delayed,57,0,0,5.046,3.84,5.96,0.407,84.55,84.91,8,1,0,31,3,3,0,100.0
SHP0030,V083,Refrigerated Van,1000.0,Frozen Peas,Frozen,-25.0,-18.0,118,2026-08-14,2026-08-06,Bangalore,Pune,88.0,Completed,Review,Compliant,Valid,Complete,Deviation,18,0,0,-20.826,-21.46,-20.35,0.341,79.17,83.28,8,1,1,13,4,4,0,100.0
SHP0031,V080,Refrigerated Van,750.0,Frozen Paneer,Frozen,-25.0,-18.0,114,2026-08-10,2026-08-07,Kochi,Coimbatore,130.0,Completed,Compliant,Compliant,Valid,Complete,Normal,27,0,4,-21.064,-22.0,-20.08,0.524,86.55,75.85,6,0,0,0,2,2,0,100.0
SHP0032,V036,Refrigerated Van,1000.0,Frozen French Fries,Frozen,-25.0,-18.0,161,2026-08-27,2026-08-03,Chennai,Coimbatore,327.0,Completed,Compliant,Compliant,Valid,Complete,Normal,66,0,0,-20.975,-21.68,-20.02,0.38,86.05,87.71,5,0,0,0,3,3,0,100.0
SHP0033,V040,Refrigerated Truck,3000.0,Fresh Milk,Chilled,2.0,8.0,119,2026-08-13,2026-08-01,Mumbai,Kochi,124.0,Completed,Review,Compliant,Valid,Complete,Deviation,25,0,0,4.99,4.2,6.03,0.456,84.35,84.8,7,0,1,0,2,2,0,100.0
SHP0034,V045,Refrigerated Truck,2000.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,111,2026-08-13,2026-08-05,Kochi,Bangalore,279.0,Completed,Non-Compliant,Warning,Review,Review,Normal,56,0,0,-20.669,-21.86,-4.34,2.251,84.88,85.13,5,0,0,0,4,3,1,75.0
SHP0035,V063,Refrigerated Van,500.0,Frozen Paneer,Frozen,-25.0,-18.0,84,2026-08-12,2026-08-06,Kochi,Mumbai,355.0,Completed,Review,Warning,Valid,Complete,Normal,72,0,0,-20.784,-22.04,-2.82,2.185,84.37,84.96,6,0,0,0,3,3,0,100.0
SHP0036,V090,Refrigerated Truck,3000.0,Frozen Peas,Frozen,-25.0,-18.0,169,2026-08-26,2026-08-05,Bangalore,Pune,244.0,Completed,Review,Compliant,Review,Complete,Normal,49,0,0,-20.921,-21.79,-20.13,0.397,86.05,84.41,5,0,0,0,4,4,0,100.0
SHP0037,V026,Refrigerated Truck,2500.0,Frozen French Fries,Frozen,-25.0,-18.0,72,2026-08-31,2026-08-01,Chennai,Pune,248.0,Completed,Compliant,Compliant,Valid,Complete,Delayed,50,0,0,-20.919,-21.7,-19.96,0.348,87.17,83.9,6,1,0,44,3,3,0,100.0
SHP0038,V088,Refrigerated Van,500.0,Frozen Paneer,Frozen,-25.0,-18.0,165,2026-08-19,2026-08-06,Coimbatore,Kochi,353.0,Completed,Review,Compliant,Valid,Review,Deviation,71,1,0,-20.949,-22.15,-19.98,0.454,86.84,85.73,7,1,1,34,2,1,1,50.0
SHP0039,V042,Refrigerated Truck,2000.0,Cheese,Chilled,2.0,8.0,194,2026-08-09,2026-08-05,Bangalore,Hyderabad,61.0,Completed,Compliant,Compliant,Valid,Complete,Delayed,13,0,0,4.963,4.03,5.6,0.406,81.2,82.46,6,1,0,50,4,4,0,100.0
SHP0040,V072,Refrigerated Van,1000.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,264,2026-08-07,2026-08-02,Chennai,Hyderabad,246.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,50,1,4,-20.651,-21.95,-15.43,1.397,84.26,77.9,8,1,0,18,3,3,0,100.0
SHP0041,V086,Refrigerated Van,1200.0,Frozen French Fries,Frozen,-25.0,-18.0,271,2026-08-06,2026-08-01,Salem,Coimbatore,78.0,Completed,Review,Compliant,Valid,Complete,Deviation,16,1,0,-20.935,-21.58,-20.25,0.373,81.17,89.06,7,0,1,0,3,3,0,100.0
SHP0042,V091,Refrigerated Truck,1500.0,Frozen Corn,Frozen,-25.0,-18.0,96,2026-08-29,2026-08-06,Mumbai,Salem,187.0,Completed,Review,Compliant,Valid,Review,Delayed,38,0,0,-20.916,-21.85,-19.96,0.387,86.63,84.58,6,2,0,67,4,3,1,75.0
SHP0043,V021,Refrigerated Truck,2500.0,Fresh Milk,Chilled,2.0,8.0,147,2026-08-07,2026-08-01,Salem,Madurai,99.0,Completed,Review,Compliant,Review,Complete,Normal,20,0,0,5.045,4.53,5.65,0.331,85.69,85.0,7,0,0,0,3,3,0,100.0
SHP0044,V070,Refrigerated Van,1000.0,Fresh Cream,Chilled,2.0,8.0,135,2026-08-28,2026-08-03,Bengaluru,Madurai,86.0,Completed,Compliant,Compliant,Valid,Complete,Normal,18,1,4,5.129,4.46,5.78,0.36,87.87,65.83,6,0,0,0,4,4,0,100.0
SHP0045,V008,Refrigerated Van,750.0,Cheese,Chilled,2.0,8.0,246,2026-08-13,2026-08-01,Coimbatore,Hyderabad,265.0,Completed,Review,Compliant,Review,Complete,Normal,54,0,0,5.061,3.92,5.74,0.394,84.12,83.83,8,0,0,0,2,2,0,100.0
SHP0046,V083,Refrigerated Van,1000.0,Fresh Paneer,Chilled,2.0,8.0,50,2026-08-23,2026-08-04,Bangalore,Pune,219.0,Completed,Review,Compliant,Valid,Review,Deviation,44,0,0,4.9,4.25,5.87,0.388,82.25,83.52,8,0,1,0,3,2,1,66.67
SHP0047,V002,Refrigerated Truck,2000.0,Frozen Corn,Frozen,-25.0,-18.0,128,2026-08-12,2026-08-02,Madurai,Bangalore,64.0,Completed,Review,Warning,Valid,Complete,Normal,13,0,0,-19.781,-21.86,-3.72,4.839,82.57,84.92,7,0,0,0,2,2,0,100.0
SHP0048,V047,Refrigerated Van,500.0,Frozen Corn,Frozen,-25.0,-18.0,142,2026-08-09,2026-08-06,Madurai,Hyderabad,215.0,Completed,Review,Compliant,Review,Complete,Normal,44,0,0,-20.978,-21.75,-20.29,0.319,84.56,84.64,5,0,0,0,2,2,0,100.0
SHP0049,V100,Refrigerated Truck,1500.0,Frozen Corn,Frozen,-25.0,-18.0,21,2026-08-17,2026-08-01,Bengaluru,Hyderabad,312.0,Completed,Review,Compliant,Valid,Review,Normal,63,0,4,-21.02,-21.79,-20.11,0.401,83.83,80.63,8,0,0,0,2,1,1,50.0
SHP0050,V099,Refrigerated Van,500.0,Fresh Cream,Chilled,2.0,8.0,260,2026-08-13,2026-08-04,Hyderabad,Mumbai,63.0,Completed,Compliant,Compliant,Valid,Complete,Normal,13,0,0,5.058,3.99,6.06,0.564,87.36,88.69,6,0,0,0,4,4,0,100.0
SHP0051,V059,Refrigerated Truck,2000.0,Frozen Corn,Frozen,-25.0,-18.0,167,2026-08-26,2026-08-02,Salem,Chennai,237.0,Completed,Review,Compliant,Valid,Review,Deviation,48,0,0,-20.958,-22.18,-19.74,0.397,84.69,82.31,8,0,1,0,4,3,1,75.0
SHP0052,V045,Refrigerated Truck,2000.0,Cheese,Chilled,2.0,8.0,56,2026-08-25,2026-08-06,Chennai,Madurai,252.0,Completed,Non-Compliant,Critical,Review,Review,Deviation,51,0,0,5.415,3.79,11.23,1.508,86.24,84.25,8,0,1,0,2,1,1,50.0
SHP0053,V018,Refrigerated Truck,1500.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,121,2026-08-17,2026-08-06,Kochi,Bangalore,181.0,Completed,Compliant,Compliant,Valid,Complete,Normal,37,0,0,-21.033,-21.98,-20.43,0.331,83.95,82.81,7,0,0,0,4,4,0,100.0
SHP0054,V091,Refrigerated Truck,1500.0,Frozen Paneer,Frozen,-25.0,-18.0,135,2026-08-24,2026-08-07,Salem,Pune,203.0,Completed,Compliant,Compliant,Valid,Complete,Normal,41,0,0,-21.049,-21.92,-20.34,0.36,85.01,86.07,7,0,0,0,3,3,0,100.0
SHP0055,V007,Refrigerated Van,750.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,92,2026-08-06,2026-08-01,Bangalore,Chennai,326.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,66,0,4,-20.684,-22.02,-15.08,1.227,86.78,80.29,7,1,0,33,4,4,0,100.0
SHP0056,V053,Refrigerated Van,1000.0,Frozen Corn,Frozen,-25.0,-18.0,177,2026-08-23,2026-08-02,Salem,Madurai,103.0,Completed,Compliant,Compliant,Valid,Complete,Normal,21,0,0,-20.987,-21.88,-20.19,0.452,85.69,88.1,5,0,0,0,2,2,0,100.0
SHP0057,V017,Refrigerated Truck,2500.0,Cheese,Chilled,2.0,8.0,83,2026-08-18,2026-08-01,Bengaluru,Bangalore,261.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,53,0,0,5.41,4.21,11.39,1.51,87.08,84.25,5,0,0,0,2,2,0,100.0
SHP0058,V071,Refrigerated Truck,2000.0,Cheese,Chilled,2.0,8.0,159,2026-08-20,2026-08-05,Bangalore,Bengaluru,282.0,Completed,Review,Warning,Review,Complete,Normal,57,0,0,4.914,-1.92,6.24,1.007,85.69,84.18,7,0,0,0,3,3,0,100.0
SHP0059,V041,Refrigerated Truck,2000.0,Cheese,Chilled,2.0,8.0,61,2026-08-23,2026-08-02,Coimbatore,Hyderabad,221.0,Completed,Compliant,Compliant,Valid,Complete,Normal,45,0,0,5.041,4.14,5.67,0.321,84.61,82.58,5,0,0,0,4,4,0,100.0
SHP0060,V045,Refrigerated Truck,2000.0,Frozen French Fries,Frozen,-25.0,-18.0,185,2026-08-23,2026-08-01,Salem,Madurai,199.0,Completed,Review,Compliant,Valid,Review,Normal,40,0,0,-21.147,-21.74,-20.39,0.381,87.7,85.48,5,0,0,0,3,2,1,66.67
SHP0061,V049,Refrigerated Van,1200.0,Fresh Milk,Chilled,2.0,8.0,66,2026-08-11,2026-08-02,Hyderabad,Bangalore,359.0,Completed,Review,Compliant,Valid,Review,Normal,72,0,0,5.031,4.36,5.7,0.333,83.2,85.19,6,0,0,0,2,1,1,50.0
SHP0062,V016,Refrigerated Truck,1500.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,40,2026-08-28,2026-08-04,Bangalore,Coimbatore,290.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,59,0,0,-20.644,-21.89,-15.14,1.207,85.34,85.08,7,0,0,0,2,2,0,100.0
SHP0063,V017,Refrigerated Truck,2500.0,Frozen French Fries,Frozen,-25.0,-18.0,285,2026-08-24,2026-08-02,Pune,Madurai,334.0,Completed,Compliant,Compliant,Valid,Complete,Normal,67,0,0,-21.014,-22.05,-19.95,0.431,83.41,83.79,6,0,0,0,2,2,0,100.0
SHP0064,V080,Refrigerated Van,750.0,Fresh Paneer,Chilled,2.0,8.0,112,2026-08-22,2026-08-04,Madurai,Hyderabad,297.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,60,0,0,5.406,4.12,11.64,1.457,83.61,85.35,7,1,0,55,2,2,0,100.0
SHP0065,V033,Refrigerated Truck,2500.0,Cheese,Chilled,2.0,8.0,66,2026-08-19,2026-08-01,Kochi,Bangalore,215.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,44,0,0,5.504,4.21,11.93,1.727,85.47,84.3,5,0,0,0,2,2,0,100.0
SHP0066,V061,Refrigerated Van,500.0,Cheese,Chilled,2.0,8.0,190,2026-08-14,2026-08-02,Bengaluru,Chennai,227.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed,46,0,0,5.143,3.99,5.8,0.424,81.4,85.43,5,1,0,39,3,2,1,66.67
SHP0067,V028,Refrigerated Van,1000.0,Frozen Corn,Frozen,-25.0,-18.0,188,2026-08-17,2026-08-01,Coimbatore,Bangalore,242.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,49,0,0,-20.686,-21.52,-15.06,1.301,85.52,85.14,5,1,0,25,4,4,0,100.0
SHP0068,V061,Refrigerated Van,500.0,Fresh Paneer,Chilled,2.0,8.0,225,2026-08-30,2026-08-06,Salem,Mumbai,213.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed,43,0,4,5.043,4.23,6.08,0.437,85.18,76.51,6,1,0,48,4,3,1,75.0
SHP0069,V083,Refrigerated Van,1000.0,Frozen French Fries,Frozen,-25.0,-18.0,65,2026-08-14,2026-08-01,Kochi,Coimbatore,291.0,Completed,Review,Warning,Valid,Review,Normal,59,0,0,-20.779,-22.1,-3.04,2.393,86.46,86.44,6,0,0,0,3,2,1,66.67
SHP0070,V059,Refrigerated Truck,2000.0,Fresh Paneer,Chilled,2.0,8.0,79,2026-08-28,2026-08-05,Mumbai,Hyderabad,112.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,23,0,0,6.123,4.55,11.69,2.334,83.74,83.17,7,0,0,0,4,4,0,100.0
SHP0071,V071,Refrigerated Truck,2000.0,Fresh Cream,Chilled,2.0,8.0,20,2026-08-25,2026-08-06,Coimbatore,Bangalore,173.0,Completed,Non-Compliant,Compliant,Review,Review,Normal,35,0,0,5.013,3.8,5.63,0.399,83.37,84.4,6,0,0,0,2,1,1,50.0
SHP0072,V051,Refrigerated Truck,3000.0,Cheese,Chilled,2.0,8.0,47,2026-08-10,2026-08-03,Coimbatore,Hyderabad,103.0,Completed,Compliant,Compliant,Valid,Complete,Delayed,21,0,0,4.968,4.24,5.79,0.442,82.56,83.19,6,1,0,28,3,3,0,100.0
SHP0073,V064,Refrigerated Truck,2500.0,Fresh Cream,Chilled,2.0,8.0,275,2026-08-24,2026-08-01,Bengaluru,Kochi,93.0,Completed,Review,Compliant,Review,Complete,Delayed,19,0,0,5.073,4.34,5.96,0.408,84.41,85.84,6,1,0,33,4,4,0,100.0
SHP0074,V034,Refrigerated Van,1000.0,Fresh Milk,Chilled,2.0,8.0,124,2026-08-12,2026-08-05,Hyderabad,Pune,229.0,Completed,Compliant,Compliant,Valid,Complete,Normal,46,1,0,4.909,4.0,5.76,0.382,85.05,85.24,7,0,0,0,4,4,0,100.0
SHP0075,V070,Refrigerated Van,1000.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,244,2026-08-26,2026-08-06,Bangalore,Chennai,146.0,Completed,Review,Compliant,Valid,Complete,Deviation,30,0,0,-21.049,-21.82,-20.3,0.368,81.25,86.8,8,0,1,0,4,4,0,100.0
SHP0076,V071,Refrigerated Truck,2000.0,Fresh Milk,Chilled,2.0,8.0,34,2026-08-24,2026-08-02,Bengaluru,Salem,314.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal,63,0,0,5.502,4.22,13.48,1.677,84.68,84.95,5,0,0,0,4,4,0,100.0
SHP0077,V037,Refrigerated Truck,2500.0,Frozen Corn,Frozen,-25.0,-18.0,179,2026-08-21,2026-08-07,Chennai,Salem,148.0,Completed,Review,Compliant,Valid,Review,Deviation,30,0,0,-21.121,-22.16,-20.47,0.374,84.0,85.57,8,0,1,0,3,2,1,66.67
SHP0078,V036,Refrigerated Van,1000.0,Frozen Paneer,Frozen,-25.0,-18.0,228,2026-08-06,2026-08-01,Madurai,Hyderabad,203.0,Completed,Compliant,Compliant,Valid,Complete,Normal,41,0,0,-21.05,-21.75,-20.09,0.417,85.15,84.24,8,0,0,0,4,4,0,100.0
SHP0079,V062,Refrigerated Truck,3000.0,Frozen Peas,Frozen,-25.0,-18.0,256,2026-08-07,2026-08-02,Pune,Coimbatore,185.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,38,0,0,-20.458,-21.81,-16.03,1.478,85.14,82.63,7,2,0,65,2,2,0,100.0
SHP0080,V087,Refrigerated Truck,2000.0,Frozen French Fries,Frozen,-25.0,-18.0,169,2026-08-20,2026-08-04,Kochi,Pune,341.0,Completed,Compliant,Compliant,Valid,Complete,Normal,69,0,0,-20.959,-22.0,-20.22,0.395,84.26,85.46,5,0,0,0,2,2,0,100.0
SHP0081,V039,Refrigerated Truck,2000.0,Cheese,Chilled,2.0,8.0,267,2026-08-19,2026-08-02,Pune,Chennai,256.0,Completed,Review,Compliant,Valid,Review,Delayed,52,0,0,4.985,4.15,5.93,0.438,83.09,85.27,6,1,0,28,3,1,2,33.33
SHP0082,V023,Refrigerated Van,750.0,Frozen French Fries,Frozen,-25.0,-18.0,94,2026-08-16,2026-08-06,Coimbatore,Salem,329.0,Completed,Non-Compliant,Compliant,Review,Review,Normal,66,0,0,-20.942,-22.01,-20.09,0.42,86.3,86.08,8,0,0,0,3,2,1,66.67
SHP0083,V017,Refrigerated Truck,2500.0,Frozen Paneer,Frozen,-25.0,-18.0,280,2026-08-27,2026-08-04,Hyderabad,Mumbai,243.0,Completed,Review,Compliant,Valid,Complete,Deviation,49,0,0,-21.011,-22.17,-20.09,0.429,83.83,83.63,6,1,1,41,3,3,0,100.0
SHP0084,V058,Refrigerated Van,500.0,Frozen Peas,Frozen,-25.0,-18.0,161,2026-08-28,2026-08-05,Pune,Mumbai,349.0,Completed,Review,Compliant,Valid,Review,Normal,70,0,0,-20.984,-22.04,-20.16,0.452,86.38,85.39,7,0,0,0,4,3,1,75.0
SHP0085,V071,Refrigerated Truck,2000.0,Fresh Paneer,Chilled,2.0,8.0,279,2026-08-12,2026-08-07,Mumbai,Madurai,152.0,Completed,Compliant,Compliant,Valid,Complete,Normal,31,0,0,4.965,4.12,6.0,0.406,86.39,84.84,8,0,0,0,3,3,0,100.0
SHP0086,V016,Refrigerated Truck,1500.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,172,2026-08-30,2026-08-01,Chennai,Madurai,75.0,Completed,Compliant,Compliant,Valid,Complete,Normal,16,0,0,-20.824,-21.59,-20.08,0.516,87.13,84.44,6,0,0,0,3,3,0,100.0
SHP0087,V060,Refrigerated Van,1000.0,Yogurt,Chilled,2.0,8.0,248,2026-08-21,2026-08-03,Kochi,Chennai,243.0,Completed,Review,Compliant,Valid,Complete,Deviation,49,0,0,4.972,4.21,5.82,0.343,84.6,84.16,7,1,2,27,3,3,0,100.0
SHP0088,V040,Refrigerated Truck,3000.0,Fresh Paneer,Chilled,2.0,8.0,190,2026-08-21,2026-08-03,Bengaluru,Hyderabad,186.0,Completed,Compliant,Compliant,Valid,Complete,Normal,38,0,0,5.036,4.17,5.89,0.324,84.37,84.61,7,0,0,0,2,2,0,100.0
