shipment_key,shipment_id,vehicle_key,product_key,departure_date_key,arrival_date_key,origin,destination,journey_duration_min,status,overall_compliance,temperature_status,sensor_reliability,custody_evidence_quality,route_reliability
17,SHP0017,100,17,20260806,20260806,Hyderabad,Pune,183.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
18,SHP0018,62,18,20260807,20260807,Pune,Bengaluru,66.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
19,SHP0019,31,19,20260801,20260801,Madurai,Coimbatore,351.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
20,SHP0020,11,20,20260806,20260806,Salem,Madurai,148.0,Completed,Compliant,Compliant,Valid,Complete,Normal
21,SHP0021,97,21,20260801,20260801,Pune,Bangalore,94.0,Completed,Compliant,Compliant,Valid,Complete,Normal
22,SHP0022,2,22,20260803,20260803,Chennai,Kochi,90.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
23,SHP0023,37,23,20260804,20260804,Salem,Mumbai,316.0,Completed,Compliant,Compliant,Valid,Complete,Normal
24,SHP0024,92,24,20260804,20260804,Salem,Bangalore,335.0,Completed,Compliant,Compliant,Valid,Complete,Normal
25,SHP0025,10,25,20260806,20260806,Bengaluru,Coimbatore,218.0,Completed,Review,Warning,Review,Complete,Normal
26,SHP0026,26,26,20260807,20260807,Bangalore,Mumbai,139.0,Completed,Compliant,Compliant,Valid,Complete,Normal
27,SHP0027,19,27,20260805,20260805,Mumbai,Madurai,93.0,Completed,Review,Compliant,Review,Complete,Normal
28,SHP0028,7,28,20260806,20260806,Kochi,Salem,182.0,Completed,Compliant,Compliant,Valid,Complete,Normal
29,SHP0029,32,29,20260801,20260801,Chennai,Hyderabad,282.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
30,SHP0030,83,30,20260806,20260806,Bangalore,Pune,88.0,Completed,Review,Compliant,Valid,Complete,Deviation
31,SHP0031,80,31,20260807,20260807,Kochi,Coimbatore,130.0,Completed,Compliant,Compliant,Valid,Complete,Normal
32,SHP0032,36,32,20260803,20260803,Chennai,Coimbatore,327.0,Completed,Compliant,Compliant,Valid,Complete,Normal
33,SHP0033,40,33,20260801,20260801,Mumbai,Kochi,124.0,Completed,Review,Compliant,Valid,Complete,Deviation
34,SHP0034,45,34,20260805,20260805,Kochi,Bangalore,279.0,Completed,Non-Compliant,Warning,Review,Review,Normal
35,SHP0035,63,35,20260806,20260806,Kochi,Mumbai,355.0,Completed,Review,Warning,Valid,Complete,Normal
36,SHP0036,90,36,20260805,20260805,Bangalore,Pune,244.0,Completed,Review,Compliant,Review,Complete,Normal
37,SHP0037,26,37,20260801,20260801,Chennai,Pune,248.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
38,SHP0038,88,38,20260806,20260806,Coimbatore,Kochi,353.0,Completed,Review,Compliant,Valid,Review,Deviation
39,SHP0039,42,39,20260805,20260805,Bangalore,Hyderabad,61.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
40,SHP0040,72,40,20260802,20260802,Chennai,Hyderabad,246.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
41,SHP0041,86,41,20260801,20260801,Salem,Coimbatore,78.0,Completed,Review,Compliant,Valid,Complete,Deviation
42,SHP0042,91,42,20260806,20260806,Mumbai,Salem,187.0,Completed,Review,Compliant,Valid,Review,Delayed
43,SHP0043,21,43,20260801,20260801,Salem,Madurai,99.0,Completed,Review,Compliant,Review,Complete,Normal
44,SHP0044,70,44,20260803,20260803,Bengaluru,Madurai,86.0,Completed,Compliant,Compliant,Valid,Complete,Normal
45,SHP0045,8,45,20260801,20260801,Coimbatore,Hyderabad,265.0,Completed,Review,Compliant,Review,Complete,Normal
46,SHP0046,83,46,20260804,20260804,Bangalore,Pune,219.0,Completed,Review,Compliant,Valid,Review,Deviation
47,SHP0047,2,47,20260802,20260802,Madurai,Bangalore,64.0,Completed,Review,Warning,Valid,Complete,Normal
48,SHP0048,47,48,20260806,20260806,Madurai,Hyderabad,215.0,Completed,Review,Compliant,Review,Complete,Normal
49,SHP0049,100,49,20260801,20260801,Bengaluru,Hyderabad,312.0,Completed,Review,Compliant,Valid,Review,Normal
50,SHP0050,99,50,20260804,20260804,Hyderabad,Mumbai,63.0,Completed,Compliant,Compliant,Valid,Complete,Normal
51,SHP0051,59,51,20260802,20260802,Salem,Chennai,237.0,Completed,Review,Compliant,Valid,Review,Deviation
52,SHP0052,45,52,20260806,20260806,Chennai,Madurai,252.0,Completed,Non-Compliant,Critical,Review,Review,Deviation
53,SHP0053,18,53,20260806,20260806,Kochi,Bangalore,181.0,Completed,Compliant,Compliant,Valid,Complete,Normal
54,SHP0054,91,54,20260807,20260807,Salem,Pune,203.0,Completed,Compliant,Compliant,Valid,Complete,Normal
55,SHP0055,7,55,20260801,20260801,Bangalore,Chennai,326.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
56,SHP0056,53,56,20260802,20260802,Salem,Madurai,103.0,Completed,Compliant,Compliant,Valid,Complete,Normal
57,SHP0057,17,57,20260801,20260801,Bengaluru,Bangalore,261.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
58,SHP0058,71,58,20260805,20260805,Bangalore,Bengaluru,282.0,Completed,Review,Warning,Review,Complete,Normal
59,SHP0059,41,59,20260802,20260802,Coimbatore,Hyderabad,221.0,Completed,Compliant,Compliant,Valid,Complete,Normal
60,SHP0060,45,60,20260801,20260801,Salem,Madurai,199.0,Completed,Review,Compliant,Valid,Review,Normal
61,SHP0061,49,61,20260802,20260802,Hyderabad,Bangalore,359.0,Completed,Review,Compliant,Valid,Review,Normal
62,SHP0062,16,62,20260804,20260804,Bangalore,Coimbatore,290.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
63,SHP0063,17,63,20260802,20260802,Pune,Madurai,334.0,Completed,Compliant,Compliant,Valid,Complete,Normal
64,SHP0064,80,64,20260804,20260804,Madurai,Hyderabad,297.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
65,SHP0065,33,65,20260801,20260801,Kochi,Bangalore,215.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
66,SHP0066,61,66,20260802,20260802,Bengaluru,Chennai,227.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed
67,SHP0067,28,67,20260801,20260801,Coimbatore,Bangalore,242.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
68,SHP0068,61,68,20260806,20260806,Salem,Mumbai,213.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed
69,SHP0069,83,69,20260801,20260801,Kochi,Coimbatore,291.0,Completed,Review,Warning,Valid,Review,Normal
70,SHP0070,59,70,20260805,20260805,Mumbai,Hyderabad,112.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
71,SHP0071,71,71,20260806,20260806,Coimbatore,Bangalore,173.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
72,SHP0072,51,72,20260803,20260803,Coimbatore,Hyderabad,103.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
73,SHP0073,64,73,20260801,20260801,Bengaluru,Kochi,93.0,Completed,Review,Compliant,Review,Complete,Delayed
74,SHP0074,34,74,20260805,20260805,Hyderabad,Pune,229.0,Completed,Compliant,Compliant,Valid,Complete,Normal
75,SHP0075,70,75,20260806,20260806,Bangalore,Chennai,146.0,Completed,Review,Compliant,Valid,Complete,Deviation
76,SHP0076,71,76,20260802,20260802,Bengaluru,Salem,314.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
77,SHP0077,37,77,20260807,20260807,Chennai,Salem,148.0,Completed,Review,Compliant,Valid,Review,Deviation
78,SHP0078,36,78,20260801,20260801,Madurai,Hyderabad,203.0,Completed,Compliant,Compliant,Valid,Complete,Normal
79,SHP0079,62,79,20260802,20260802,Pune,Coimbatore,185.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
80,SHP0080,87,80,20260804,20260804,Kochi,Pune,341.0,Completed,Compliant,Compliant,Valid,Complete,Normal
81,SHP0081,39,81,20260802,20260802,Pune,Chennai,256.0,Completed,Review,Compliant,Valid,Review,Delayed
82,SHP0082,23,82,20260806,20260806,Coimbatore,Salem,329.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
83,SHP0083,17,83,20260804,20260804,Hyderabad,Mumbai,243.0,Completed,Review,Compliant,Valid,Complete,Deviation
84,SHP0084,58,84,20260805,20260805,Pune,Mumbai,349.0,Completed,Review,Compliant,Valid,Review,Normal
85,SHP0085,71,85,20260807,20260807,Mumbai,Madurai,152.0,Completed,Compliant,Compliant,Valid,Complete,Normal
86,SHP0086,16,86,20260801,20260801,Chennai,Madurai,75.0,Completed,Compliant,Compliant,Valid,Complete,Normal
87,SHP0087,60,87,20260803,20260803,Kochi,Chennai,243.0,Completed,Review,Compliant,Valid,Complete,Deviation
88,SHP0088,40,88,20260803,20260803,Bengaluru,Hyderabad,186.0,Completed,Compliant,Compliant,Valid,Complete,Normal
89,SHP0089,16,89,20260803,20260803,Hyderabad,Kochi,88.0,Completed,Compliant,Compliant,Valid,Complete,Normal
90,SHP0090,22,90,20260806,20260806,Hyderabad,Bengaluru,148.0,Completed,Review,Compliant,Review,Complete,Delayed
91,SHP0091,23,91,20260801,20260801,Coimbatore,Hyderabad,243.0,Completed,Review,Compliant,Review,Complete,Normal
92,SHP0092,30,92,20260802,20260802,Bengaluru,Chennai,240.0,Completed,Compliant,Compliant,Valid,Complete,Normal
93,SHP0093,49,93,20260803,20260803,Bengaluru,Coimbatore,312.0,Completed,Review,Compliant,Valid,Complete,Deviation
94,SHP0094,40,94,20260806,20260806,Mumbai,Kochi,79.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
95,SHP0095,10,95,20260803,20260803,Bangalore,Chennai,172.0,Completed,Compliant,Compliant,Valid,Complete,Normal
96,SHP0096,26,96,20260802,20260802,Chennai,Mumbai,229.0,Completed,Compliant,Compliant,Valid,Complete,Normal
97,SHP0097,95,97,20260806,20260806,Bengaluru,Hyderabad,150.0,Completed,Review,Compliant,Valid,Review,Delayed
98,SHP0098,26,98,20260806,20260806,Madurai,Chennai,360.0,Completed,Review,Compliant,Review,Complete,Normal
99,SHP0099,42,99,20260803,20260803,Coimbatore,Bangalore,246.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
100,SHP0100,51,100,20260804,20260804,Bangalore,Madurai,262.0,Completed,Compliant,Compliant,Valid,Complete,Normal
101,SHP0101,40,101,20260802,20260802,Bengaluru,Bangalore,225.0,Completed,Review,Warning,Valid,Complete,Normal
102,SHP0102,62,102,20260805,20260805,Coimbatore,Salem,222.0,Completed,Compliant,Compliant,Valid,Complete,Normal
103,SHP0103,85,103,20260801,20260801,Coimbatore,Mumbai,242.0,Completed,Compliant,Compliant,Valid,Complete,Normal
104,SHP0104,40,104,20260805,20260805,Hyderabad,Bengaluru,217.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
105,SHP0105,5,105,20260804,20260804,Kochi,Coimbatore,60.0,Completed,Review,Warning,Valid,Complete,Delayed
106,SHP0106,2,106,20260804,20260804,Bengaluru,Salem,153.0,Completed,Non-Compliant,Critical,Valid,Review,Delayed
107,SHP0107,47,107,20260805,20260805,Bengaluru,Madurai,349.0,Completed,Non-Compliant,Critical,Review,Complete,Normal
108,SHP0108,79,108,20260807,20260807,Bangalore,Pune,99.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
109,SHP0109,4,109,20260805,20260805,Hyderabad,Madurai,105.0,Completed,Compliant,Compliant,Valid,Complete,Normal
110,SHP0110,63,110,20260805,20260805,Madurai,Pune,167.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
111,SHP0111,65,111,20260802,20260802,Hyderabad,Bangalore,115.0,Completed,Compliant,Compliant,Valid,Complete,Normal
112,SHP0112,11,112,20260801,20260801,Chennai,Salem,274.0,Completed,Compliant,Compliant,Valid,Complete,Normal
113,SHP0113,83,113,20260805,20260805,Coimbatore,Salem,253.0,Completed,Review,Compliant,Valid,Complete,Deviation
114,SHP0114,42,114,20260807,20260807,Madurai,Mumbai,305.0,Completed,Compliant,Compliant,Valid,Complete,Normal
115,SHP0115,19,115,20260802,20260802,Bengaluru,Hyderabad,97.0,Completed,Review,Compliant,Review,Complete,Normal
116,SHP0116,18,116,20260805,20260805,Chennai,Kochi,193.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed
117,SHP0117,86,117,20260802,20260802,Bangalore,Madurai,252.0,Completed,Review,Compliant,Valid,Review,Delayed
118,SHP0118,51,118,20260807,20260807,Coimbatore,Bangalore,107.0,Completed,Compliant,Compliant,Valid,Complete,Normal
119,SHP0119,52,119,20260801,20260801,Madurai,Bengaluru,307.0,Completed,Compliant,Compliant,Valid,Complete,Normal
120,SHP0120,39,120,20260806,20260806,Chennai,Salem,282.0,Completed,Compliant,Compliant,Valid,Complete,Normal
121,SHP0121,81,121,20260803,20260803,Coimbatore,Chennai,165.0,Completed,Compliant,Compliant,Valid,Complete,Normal
122,SHP0122,35,122,20260805,20260805,Hyderabad,Salem,336.0,Completed,Review,Compliant,Valid,Review,Delayed
123,SHP0123,64,123,20260804,20260804,Kochi,Hyderabad,261.0,Completed,Non-Compliant,Compliant,Review,Review,Deviation
124,SHP0124,95,124,20260802,20260802,Bengaluru,Mumbai,87.0,Completed,Compliant,Compliant,Valid,Complete,Normal
125,SHP0125,86,125,20260803,20260803,Madurai,Chennai,210.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
126,SHP0126,82,126,20260801,20260801,Bengaluru,Pune,73.0,Completed,Review,Compliant,Valid,Complete,Deviation
127,SHP0127,18,127,20260802,20260802,Hyderabad,Coimbatore,101.0,Completed,Review,Compliant,Review,Complete,Deviation
128,SHP0128,98,128,20260802,20260802,Pune,Bangalore,263.0,Completed,Review,Compliant,Valid,Complete,Deviation
129,SHP0129,81,129,20260804,20260804,Pune,Kochi,338.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
130,SHP0130,19,130,20260801,20260801,Salem,Coimbatore,255.0,Completed,Review,Compliant,Review,Complete,Normal
131,SHP0131,65,131,20260804,20260804,Madurai,Coimbatore,194.0,Completed,Review,Compliant,Valid,Complete,Deviation
132,SHP0132,41,132,20260805,20260805,Pune,Kochi,197.0,Completed,Review,Compliant,Valid,Review,Deviation
133,SHP0133,49,133,20260804,20260804,Bengaluru,Chennai,109.0,Completed,Review,Compliant,Valid,Complete,Deviation
134,SHP0134,70,134,20260802,20260802,Bangalore,Madurai,176.0,Completed,Non-Compliant,Critical,Valid,Review,Delayed
135,SHP0135,75,135,20260801,20260801,Mumbai,Chennai,327.0,Completed,Compliant,Compliant,Valid,Complete,Normal
136,SHP0136,90,136,20260804,20260804,Salem,Mumbai,303.0,Completed,Review,Compliant,Review,Complete,Normal
137,SHP0137,57,137,20260801,20260801,Bengaluru,Hyderabad,100.0,Completed,Non-Compliant,Critical,Valid,Review,Normal
138,SHP0138,58,138,20260806,20260806,Salem,Chennai,324.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
139,SHP0139,35,139,20260801,20260801,Bengaluru,Coimbatore,289.0,Completed,Compliant,Compliant,Valid,Complete,Normal
140,SHP0140,23,140,20260805,20260805,Coimbatore,Hyderabad,81.0,Completed,Review,Compliant,Review,Complete,Normal
141,SHP0141,97,141,20260802,20260802,Salem,Bangalore,163.0,Completed,Compliant,Compliant,Valid,Complete,Normal
142,SHP0142,20,142,20260806,20260806,Coimbatore,Bengaluru,94.0,Completed,Review,Compliant,Review,Complete,Normal
143,SHP0143,49,143,20260806,20260806,Bangalore,Salem,342.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
144,SHP0144,1,144,20260805,20260805,Madurai,Kochi,66.0,Completed,Compliant,Compliant,Valid,Complete,Normal
145,SHP0145,61,145,20260807,20260807,Bengaluru,Mumbai,272.0,Completed,Review,Warning,Valid,Complete,Delayed
146,SHP0146,93,146,20260807,20260807,Coimbatore,Bengaluru,111.0,Completed,Review,Compliant,Valid,Review,Delayed
147,SHP0147,39,147,20260801,20260801,Bangalore,Bengaluru,206.0,Completed,Review,Compliant,Valid,Complete,Deviation
148,SHP0148,18,148,20260801,20260801,Mumbai,Madurai,256.0,Completed,Compliant,Compliant,Valid,Complete,Normal
149,SHP0149,20,149,20260801,20260801,Pune,Bengaluru,79.0,Completed,Review,Compliant,Review,Complete,Delayed
150,SHP0150,5,150,20260806,20260806,Coimbatore,Kochi,265.0,Completed,Non-Compliant,Critical,Valid,Complete,Deviation
151,SHP0151,54,151,20260801,20260801,Chennai,Salem,181.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
152,SHP0152,90,152,20260801,20260801,Chennai,Pune,250.0,Completed,Non-Compliant,Critical,Review,Complete,Normal
153,SHP0153,57,153,20260802,20260802,Chennai,Madurai,203.0,Completed,Compliant,Compliant,Valid,Complete,Normal
154,SHP0154,98,154,20260807,20260807,Pune,Bangalore,213.0,Completed,Review,Compliant,Review,Complete,Delayed
155,SHP0155,79,155,20260805,20260805,Pune,Madurai,273.0,Completed,Review,Compliant,Valid,Review,Deviation
156,SHP0156,32,156,20260806,20260806,Bengaluru,Bangalore,168.0,Completed,Review,Compliant,Valid,Review,Delayed
157,SHP0157,65,157,20260806,20260806,Salem,Pune,251.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
158,SHP0158,88,158,20260802,20260802,Chennai,Mumbai,219.0,Completed,Compliant,Compliant,Valid,Complete,Normal
159,SHP0159,98,159,20260804,20260804,Mumbai,Salem,328.0,Completed,Non-Compliant,Critical,Review,Complete,Deviation
160,SHP0160,35,160,20260802,20260802,Bengaluru,Chennai,162.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
161,SHP0161,56,161,20260806,20260806,Chennai,Hyderabad,85.0,Completed,Review,Compliant,Valid,Review,Deviation
162,SHP0162,64,162,20260805,20260805,Madurai,Hyderabad,297.0,Completed,Review,Compliant,Review,Complete,Deviation
163,SHP0163,91,163,20260805,20260805,Mumbai,Salem,123.0,Completed,Review,Compliant,Valid,Review,Normal
164,SHP0164,72,164,20260803,20260803,Chennai,Hyderabad,288.0,Completed,Compliant,Compliant,Valid,Complete,Normal
165,SHP0165,42,165,20260804,20260804,Coimbatore,Pune,239.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
166,SHP0166,12,166,20260807,20260807,Madurai,Coimbatore,106.0,Completed,Review,Compliant,Review,Complete,Normal
167,SHP0167,85,167,20260806,20260806,Kochi,Chennai,143.0,Completed,Compliant,Compliant,Valid,Complete,Normal
168,SHP0168,2,168,20260807,20260807,Bengaluru,Hyderabad,175.0,Completed,Compliant,Compliant,Valid,Complete,Normal
169,SHP0169,52,169,20260802,20260802,Hyderabad,Kochi,322.0,Completed,Compliant,Compliant,Valid,Complete,Normal
170,SHP0170,36,170,20260807,20260807,Chennai,Pune,148.0,Completed,Compliant,Compliant,Valid,Complete,Normal
171,SHP0171,43,171,20260805,20260805,Bengaluru,Chennai,216.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
172,SHP0172,46,172,20260802,20260802,Kochi,Salem,238.0,Completed,Compliant,Compliant,Valid,Complete,Normal
173,SHP0173,88,173,20260804,20260804,Pune,Kochi,214.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
174,SHP0174,82,174,20260803,20260803,Mumbai,Bengaluru,112.0,Completed,Compliant,Compliant,Valid,Complete,Normal
175,SHP0175,56,175,20260803,20260803,Chennai,Mumbai,251.0,Completed,Review,Compliant,Valid,Complete,Deviation
176,SHP0176,63,176,20260801,20260801,Mumbai,Bengaluru,212.0,Completed,Compliant,Compliant,Valid,Complete,Normal
177,SHP0177,31,177,20260807,20260807,Bangalore,Pune,201.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
178,SHP0178,72,178,20260807,20260807,Madurai,Kochi,212.0,Completed,Compliant,Compliant,Valid,Complete,Normal
179,SHP0179,58,179,20260802,20260802,Hyderabad,Coimbatore,183.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
180,SHP0180,6,180,20260803,20260803,Chennai,Bengaluru,223.0,Completed,Compliant,Compliant,Valid,Complete,Normal
181,SHP0181,24,181,20260803,20260803,Coimbatore,Chennai,211.0,Completed,Compliant,Compliant,Valid,Complete,Normal
182,SHP0182,53,182,20260803,20260803,Kochi,Salem,78.0,Completed,Compliant,Compliant,Valid,Complete,Normal
183,SHP0183,86,183,20260805,20260805,Bengaluru,Hyderabad,173.0,Completed,Review,Warning,Valid,Review,Normal
184,SHP0184,33,184,20260807,20260807,Mumbai,Pune,319.0,Completed,Compliant,Compliant,Valid,Complete,Normal
185,SHP0185,4,185,20260804,20260804,Kochi,Coimbatore,345.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
186,SHP0186,23,186,20260804,20260804,Coimbatore,Kochi,125.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed
187,SHP0187,43,187,20260802,20260802,Kochi,Mumbai,231.0,Completed,Compliant,Compliant,Valid,Complete,Normal
188,SHP0188,10,188,20260802,20260802,Bangalore,Hyderabad,217.0,Completed,Review,Compliant,Review,Complete,Normal
189,SHP0189,24,189,20260804,20260804,Salem,Madurai,359.0,Completed,Non-Compliant,Critical,Valid,Review,Normal
190,SHP0190,93,190,20260805,20260805,Kochi,Pune,87.0,Completed,Review,Compliant,Valid,Review,Normal
191,SHP0191,75,191,20260804,20260804,Bengaluru,Bangalore,159.0,Completed,Compliant,Compliant,Valid,Complete,Normal
192,SHP0192,39,192,20260805,20260805,Mumbai,Bangalore,331.0,Completed,Compliant,Compliant,Valid,Complete,Normal
193,SHP0193,30,193,20260806,20260806,Kochi,Salem,137.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
194,SHP0194,42,194,20260802,20260802,Coimbatore,Hyderabad,351.0,Completed,Review,Compliant,Valid,Review,Normal
195,SHP0195,70,195,20260801,20260801,Pune,Coimbatore,152.0,Completed,Review,Warning,Valid,Complete,Normal
196,SHP0196,21,196,20260803,20260803,Bangalore,Pune,150.0,Completed,Non-Compliant,Warning,Review,Review,Normal
197,SHP0197,43,197,20260804,20260804,Madurai,Chennai,200.0,Completed,Review,Warning,Valid,Complete,Delayed
198,SHP0198,10,198,20260807,20260807,Hyderabad,Coimbatore,141.0,Completed,Compliant,Compliant,Valid,Complete,Normal
199,SHP0199,20,199,20260805,20260805,Pune,Bangalore,282.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
200,SHP0200,53,200,20260805,20260805,Salem,Pune,79.0,Completed,Compliant,Compliant,Valid,Complete,Normal
201,SHP0201,6,201,20260801,20260801,Mumbai,Hyderabad,67.0,Completed,Review,Compliant,Valid,Complete,Deviation
202,SHP0202,60,202,20260807,20260807,Madurai,Mumbai,62.0,Completed,Compliant,Compliant,Valid,Complete,Normal
203,SHP0203,56,203,20260807,20260807,Hyderabad,Madurai,112.0,Completed,Compliant,Compliant,Valid,Complete,Normal
204,SHP0204,36,204,20260805,20260805,Salem,Mumbai,145.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
205,SHP0205,97,205,20260807,20260807,Bangalore,Chennai,293.0,Completed,Review,Warning,Valid,Complete,Normal
206,SHP0206,2,206,20260801,20260801,Mumbai,Bengaluru,282.0,Completed,Non-Compliant,Critical,Valid,Complete,Normal
207,SHP0207,79,207,20260804,20260804,Coimbatore,Madurai,156.0,Completed,Review,Compliant,Valid,Complete,Deviation
208,SHP0208,17,208,20260807,20260807,Coimbatore,Salem,174.0,Completed,Review,Warning,Valid,Complete,Delayed
209,SHP0209,7,209,20260802,20260802,Coimbatore,Hyderabad,318.0,Completed,Non-Compliant,Critical,Valid,Review,Normal
210,SHP0210,96,210,20260804,20260804,Coimbatore,Bangalore,79.0,Completed,Compliant,Compliant,Valid,Complete,Normal
211,SHP0211,56,211,20260805,20260805,Salem,Kochi,84.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
212,SHP0212,17,212,20260803,20260803,Bengaluru,Chennai,70.0,Completed,Review,Compliant,Valid,Review,Delayed
213,SHP0213,59,213,20260807,20260807,Chennai,Bangalore,254.0,Completed,Compliant,Compliant,Valid,Complete,Normal
214,SHP0214,24,214,20260807,20260807,Bangalore,Mumbai,138.0,Completed,Review,Compliant,Valid,Review,Deviation
215,SHP0215,59,215,20260803,20260803,Hyderabad,Chennai,111.0,Completed,Non-Compliant,Compliant,Review,Review,Delayed
216,SHP0216,8,216,20260804,20260804,Mumbai,Kochi,130.0,Completed,Review,Compliant,Review,Complete,Normal
217,SHP0217,90,217,20260806,20260806,Salem,Bangalore,120.0,Completed,Review,Compliant,Review,Complete,Deviation
218,SHP0218,100,218,20260804,20260804,Kochi,Bangalore,161.0,Completed,Review,Compliant,Valid,Review,Normal
219,SHP0219,47,219,20260804,20260804,Bengaluru,Hyderabad,327.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
220,SHP0220,51,220,20260802,20260802,Hyderabad,Madurai,211.0,Completed,Review,Compliant,Valid,Review,Normal
221,SHP0221,36,221,20260806,20260806,Coimbatore,Chennai,166.0,Completed,Compliant,Compliant,Valid,Complete,Delayed
222,SHP0222,8,222,20260803,20260803,Pune,Madurai,66.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
223,SHP0223,50,223,20260806,20260806,Bangalore,Bengaluru,136.0,Completed,Compliant,Compliant,Valid,Complete,Normal
224,SHP0224,7,224,20260803,20260803,Bangalore,Mumbai,111.0,Completed,Compliant,Compliant,Valid,Complete,Normal
225,SHP0225,41,225,20260807,20260807,Kochi,Hyderabad,195.0,Completed,Compliant,Compliant,Valid,Complete,Normal
226,SHP0226,97,226,20260805,20260805,Pune,Chennai,149.0,Completed,Compliant,Compliant,Valid,Complete,Normal
